index,label,duration_ms,x,y,w,h,color
1,black_start,2000,,,64,64,#ffffff
2,x0_y0,1000,0,0,64,64,#ffffff
3,x64_y0,1000,64,0,64,64,#ffffff
4,x128_y0,1000,128,0,64,64,#ffffff
5,x256_y0,1000,256,0,64,64,#ffffff
6,x512_y0,1000,512,0,64,64,#ffffff
7,x1024_y0,1000,1024,0,64,64,#ffffff
8,x1856_y0,1000,1856,0,64,64,#ffffff
9,black_end,1000,,,64,64,#ffffff
