index,label,duration_ms,x,y,w,h
1,black_start,2000,,,64,64
2,x0_y0,1000,0,0,64,64
3,x0_y64,1000,0,64,64,64
4,x0_y128,1000,0,128,64,64
5,x0_y256,1000,0,256,64,64
6,x0_y512,1000,0,512,64,64
7,x0_y1016,1000,0,1016,64,64
8,black_end,1000,,,64,64
